0,747,8
1,4257,5
1,2194,8
1,580,10
1,6478,6
1,1222,3
1,5735,6
1,7146,4
1,2204,2
1,126,2
1,2639,6
2,562,2
2,1492,6
2,6,5
2,5303,2
2,7128,3
2,4154,3
2,5179,10
3,1728,2
3,4560,10
3,5060,2
3,1351,4
3,6503,4
3,7089,7
3,4319,6
3,6095,7
3,272,5
3,4433,2
3,2900,3
3,3381,3
3,5943,9
3,2107,10
3,6940,6
3,2013,5
3,6046,6
3,5823,3
4,5770,10
5,5454,8
6,5856,4
6,667,6
6,6180,2
6,598,8
6,870,1
6,3079,2
6,1834,7
6,6283,2
6,7340,7
6,7279,4
6,342,10
6,1492,3
6,4405,2
6,1462,5
6,7128,7
6,1284,10
6,1551,1
6,3291,9
6,167,5
7,177,4
7,6243,1
7,7589,1
7,2854,9
7,6931,3
7,6250,8
7,428,1
7,2142,4
8,1686,3
9,4481,7
9,1795,10
9,2660,9
9,6053,9
9,246,4
9,3843,2
9,6441,10
9,366,9
10,5489,2
11,5240,5
11,618,1
11,2412,8
11,1325,10
11,4919,3
12,5274,10
12,3807,4
13,1794,6
13,3971,3
13,1223,1
13,6152,6
13,5385,4
13,1509,5
13,524,3
13,4770,3
13,1937,8
13,7315,5
13,1817,10
13,6298,3
13,2266,10
13,3557,6
13,5857,8
13,866,3
13,2789,3
13,3559,7
13,4904,4
13,6565,4
13,5355,9
13,620,3
13,110,10
13,2835,8
13,3316,7
13,6712,8
13,1850,7
13,4860,4
13,4606,4
14,5862,10
14,2155,5
14,6438,1
14,3086,10
15,3530,8
15,7580,1
15,3029,4
15,5274,4
15,4375,9
16,7296,4
16,2626,7
16,131,9
16,6323,5
16,1799,4
16,3103,4
16,5578,5
16,7435,1
16,1677,4
16,5072,3
16,4008,9
16,3410,5
16,6446,2
16,4184,9
16,5725,9
16,1349,8
16,5088,6
16,6544,3
16,2530,9
16,1956,10
16,38,5
16,550,2
16,6567,2
16,4968,2
16,1005,8
16,6126,5
16,1905,7
16,3699,6
16,773,6
16,1016,8
16,2751,5
16,3324,4
16,766,8
16,6101,5
17,6105,5
17,4242,8
17,7237,4
17,1334,4
17,951,8
17,1337,3
17,3165,4
18,6372,5
18,4042,10
18,3596,4
18,7185,7
18,5139,7
18,615,1
18,2788,3
18,3163,8
18,5534,1
18,4319,9
18,6816,2
18,6436,3
18,421,4
18,4775,9
18,1384,1
18,3755,1
18,3820,7
18,4212,6
18,478,1
18,6136,1
18,6399,5
18,3581,5
18,7614,8
18,4085,2
19,2625,3
19,2692,8
19,1501,7
19,6703,7
20,2689,8
20,1316,4
20,5941,8
20,4151,9
20,4462,2
20,6463,8
21,3026,6
21,5764,9
22,5127,2
23,4248,9
23,7317,10
23,1854,10
23,646,7
23,3493,2
24,3643,3
25,3544,8
26,5345,8
27,4066,9
27,6339,8
27,1558,3
27,1896,5
27,4329,2
27,6396,3
27,3565,3
28,7224,9
28,1658,3
28,4900,3
29,4626,8
29,907,10
29,2838,3
29,7287,10
29,543,1
29,7579,1
29,6652,2
29,2711,1
30,7075,1
30,2644,5
30,3525,10
30,924,2
30,683,10
30,3499,1
30,5564,2
30,5854,1
31,1457,4
31,5274,4
31,3418,3
32,3136,8
32,1312,5
32,2195,10
32,5676,1
32,4845,5
32,1166,6
32,3155,7
32,6196,7
32,6709,7
32,5206,8
32,4187,1
32,1020,5
32,607,1
33,2626,10
33,2566,8
33,4040,9
33,2745,1
33,6859,5
33,4814,1
33,1875,7
33,1300,4
33,3221,7
33,407,1
33,3740,4
33,2170,4
33,3103,3
33,7074,10
33,5095,5
33,5617,8
33,2420,2
33,1973,4
33,4308,6
33,6101,3
33,3452,7
33,765,5
33,1150,1
33,213,9
34,2944,1
34,4408,9
34,5875,5
34,4717,10
34,3927,9
35,6747,1
35,7035,4
35,5283,6
35,4246,6
35,6887,3
35,2040,6
35,6475,2
35,4235,10
35,2301,7
35,2045,9
36,719,3
37,3991,10
38,6288,7
38,3794,5
38,1956,5
38,7565,2
38,2637,7
38,3023,1
39,1349,1
39,5095,8
40,5564,4
40,4908,5
40,1381,9
40,1678,1
41,1958,7
41,5414,6
41,3591,10
41,3562,5
41,524,6
41,3950,8
41,6287,3
42,3592,9
42,4335,8
42,2647,9
43,4681,7
43,2893,4
44,7042,6
44,3701,8
44,6870,8
44,7226,9
44,6507,4
44,6234,10
44,3597,2
45,3912,3
45,7537,8
45,3986,2
45,4852,6
45,3527,7
45,5896,1
45,5099,5
45,3340,10
45,865,9
45,4527,8
46,2442,1
46,2414,9
47,1792,5
47,7489,6
47,5378,4
47,6427,7
47,3845,7
47,6637,6
47,6408,10
47,2985,5
47,538,1
47,3181,5
47,5314,8
47,397,4
47,4657,8
47,4146,9
47,3128,4
47,3833,1
47,6458,2
47,6991,2
47,6876,10
47,1789,10
47,6207,4
48,1761,2
48,3250,4
48,7213,9
49,3360,6
49,4000,8
49,5510,2
49,3361,10
49,3400,6
49,2892,3
49,6605,8
49,2510,2
49,6096,6
49,7224,9
49,2072,10
49,3038,6
50,4415,5
